herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
白芥子,2,4,4,0.011049723756906077,7.585675322334258e-05,6.834740624501552e-05
败酱,2,2,4,0.0055248618784530384,0.0,0.0010145907004407808
人尿,1,4,4,0.011049723756906077,2.8626818945864922e-05,0.000915686705939341
猪胆汁,1,4,4,0.011049723756906077,2.8626818945864922e-05,0.000915686705939341
猪脊髓,1,4,4,0.011049723756906077,2.6275876658469398e-05,0.0005199564942060717
蛇床子,1,4,4,0.011049723756906077,1.1654930253201043e-05,0.00042136082247907277
莲须,1,4,4,0.011049723756906077,6.944952848659827e-06,0.00015051130251469996
海粉,1,4,4,0.011049723756906077,3.0153167157498282e-06,0.0002131696320934916
凤凰衣,1,4,4,0.011049723756906077,9.797736374911251e-05,0.0004943351364645066
密陀僧,1,3,3,0.008287292817679558,1.1094352789414167e-05,0.0017781125923803998
浮小麦,1,3,3,0.008287292817679558,0.0,0.00032602933834975287
麻黄根,1,3,3,0.008287292817679558,0.0,0.00032602933834975287
黑沉香,1,3,3,0.008287292817679558,1.4879592688063785e-05,0.0010595750066643627
柿蒂,1,3,3,0.008287292817679558,7.699432709190011e-06,0.0018308087815776804
麦曲,1,3,3,0.008287292817679558,1.0705449845517864e-05,0.0009407497115025899
蟾酥,1,3,3,0.008287292817679558,6.36796905602097e-06,0.00047116318986454447
忍冬藤,1,3,3,0.008287292817679558,6.343398543876412e-05,0.002618185035703191
硼砂,1,2,2,0.0055248618784530384,1.0904091413881041e-06,4.4784326186431744e-05
猪肤,1,2,2,0.0055248618784530384,0.0,2.00988321902039e-05
米粉,1,2,2,0.0055248618784530384,0.0,2.00988321902039e-05
羊肉,1,2,2,0.0055248618784530384,1.0010230312133521e-05,0.0015490534010715708
黑豆,1,2,2,0.0055248618784530384,4.7978936693407856e-05,0.0016912003094144222
磁石,1,2,2,0.0055248618784530384,0.0,0.00010769326186199009
